Customer ID,Order ID,Product Name,Units Sold,Date,Revenue,Cost
C001,O001,Widget A,10,2024-01-01,150.00,100.00
C002,O002,Widget B,5,2024-01-02,75.00,50.00
C003,O003,Widget C,7,2024-01-03,105.00,70.00
C004,O004,Widget A,12,2024-01-04,180.00,120.00
C005,O005,Widget D,8,2024-01-05,120.00,80.00
C006,O006,Widget B,15,2024-01-06,225.00,150.00
C007,O007,Widget E,6,2024-01-07,90.00,60.00
C008,O008,Widget C,9,2024-01-08,135.00,90.00
C009,O009,Widget A,11,2024-01-09,165.00,110.00
C010,O010,Widget F,4,2024-01-10,60.00,40.00
C011,O011,Widget G,13,2024-01-11,195.00,130.00
C012,O012,Widget B,8,2024-01-12,120.00,80.00
C013,O013,Widget E,7,2024-01-13,105.00,70.00
C014,O014,Widget D,10,2024-01-14,150.00,100.00
C015,O015,Widget C,6,2024-01-15,90.00,60.00
C016,O016,Widget A,14,2024-01-16,210.00,140.00
C017,O017,Widget F,5,2024-01-17,75.00,50.00
C018,O018,Widget G,9,2024-01-18,135.00,90.00
C019,O019,Widget B,11,2024-01-19,165.00,110.00
C020,O020,Widget E,8,2024-01-20,120.00,80.00
C021,O021,Widget A,12,2024-01-21,180.00,120.00
C022,O022,Widget C,10,2024-01-22,150.00,100.00
C023,O023,Widget D,7,2024-01-23,105.00,70.00
C024,O024,Widget F,6,2024-01-24,90.00,60.00
C025,O025,Widget B,13,2024-01-25,195.00,130.00
C026,O026,Widget G,8,2024-01-26,120.00,80.00
C027,O027,Widget E,10,2024-01-27,150.00,100.00
C028,O028,Widget A,14,2024-01-28,210.00,140.00
C029,O029,Widget C,5,2024-01-29,75.00,50.00
C030,O030,Widget D,8,2024-01-30,120.00,80.00
C031,O031,Widget F,12,2024-02-01,180.00,120.00
C032,O032,Widget G,7,2024-02-02,105.00,70.00
C033,O033,Widget B,9,2024-02-03,135.00,90.00
C034,O034,Widget A,11,2024-02-04,165.00,110.00
C035,O035,Widget E,8,2024-02-05,120.00,80.00
C036,O036,Widget D,10,2024-02-06,150.00,100.00
C037,O037,Widget C,7,2024-02-07,105.00,70.00
C038,O038,Widget B,13,2024-02-08,195.00,130.00
C039,O039,Widget F,6,2024-02-09,90.00,60.00
C040,O040,Widget G,8,2024-02-10,120.00,80.00
C041,O041,Widget A,15,2024-02-11,225.00,150.00
C042,O042,Widget E,6,2024-02-12,90.00,60.00
C043,O043,Widget C,12,2024-02-13,180.00,120.00
C044,O044,Widget D,9,2024-02-14,135.00,90.00
C045,O045,Widget B,11,2024-02-15,165.00,110.00
C046,O046,Widget F,8,2024-02-16,120.00,80.00
C047,O047,Widget G,7,2024-02-17,105.00,70.00
C048,O048,Widget E,14,2024-02-18,210.00,140.00
C049,O049,Widget A,10,2024-02-19,150.00,100.00
C050,O050,Widget C,8,2024-02-20,120.00,80.00
C051,O051,Widget D,11,2024-02-21,165.00,110.00
C052,O052,Widget B,7,2024-02-22,105.00,70.00
C053,O053,Widget F,5,2024-02-23,75.00,50.00
C054,O054,Widget G,12,2024-02-24,180.00,120.00
C055,O055,Widget E,6,2024-02-25,90.00,60.00
C056,O056,Widget A,13,2024-02-26,195.00,130.00
C057,O057,Widget B,10,2024-02-27,150.00,100.00
C058,O058,Widget C,7,2024-02-28,105.00,70.00
C059,O059,Widget D,9,2024-03-01,135.00,90.00
C060,O060,Widget E,12,2024-03-02,180.00,120.00
C061,O061,Widget F,8,2024-03-03,120.00,80.00
C062,O062,Widget G,6,2024-03-04,90.00,60.00
C063,O063,Widget A,11,2024-03-05,165.00,110.00
C064,O064,Widget B,13,2024-03-06,195.00,130.00
C065,O065,Widget C,9,2024-03-07,135.00,90.00
C066,O066,Widget D,7,2024-03-08,105.00,70.00
C067,O067,Widget E,10,2024-03-09,150.00,100.00
C068,O068,Widget F,5,2024-03-10,75.00,50.00
C069,O069,Widget G,8,2024-03-11,120.00,80.00
C070,O070,Widget A,14,2024-03-12,210.00,140.00
C071,O071,Widget B,8,2024-03-13,120.00,80.00
C072,O072,Widget C,10,2024-03-14,150.00,100.00
C073,O073,Widget D,6,2024-03-15,90.00,60.00
C074,O074,Widget E,11,2024-03-16,165.00,110.00
C075,O075,Widget F,12,2024-03-17,180.00,120.00
C076,O076,Widget G,7,2024-03-18,105.00,70.00
C077,O077,Widget A,9,2024-03-19,135.00,90.00
C078,O078,Widget B,14,2024-03-20,210.00,140.00
C079,O079,Widget C,8,2024-03-21,120.00,80.00
